"Frame","Module","Location","Address","Path"
"52","VBE7.DLL","VBE7.DLL + 0x3e66f","0x7ffb413de66f","C:\Program Files\Common Files\Microsoft Shared\VBA\VBA7.1\VBE7.DLL"
"53","VBE7.DLL","VBE7.DLL + 0x1f44a3","0x7ffb415944a3","C:\Program Files\Common Files\Microsoft Shared\VBA\VBA7.1\VBE7.DLL"
"54","VBE7.DLL","VBE7.DLL + 0x22311e","0x7ffb415c311e","C:\Program Files\Common Files\Microsoft Shared\VBA\VBA7.1\VBE7.DLL"
"55","VBE7.DLL","VBE7.DLL + 0x22640e","0x7ffb415c640e","C:\Program Files\Common Files\Microsoft Shared\VBA\VBA7.1\VBE7.DLL"
"56","VBE7.DLL","VBE7.DLL + 0x2234c2","0x7ffb415c34c2","C:\Program Files\Common Files\Microsoft Shared\VBA\VBA7.1\VBE7.DLL"
"57","VBE7.DLL","VBE7.DLL + 0xfc78f","0x7ffb4149c78f","C:\Program Files\Common Files\Microsoft Shared\VBA\VBA7.1\VBE7.DLL"
"58","VBE7.DLL","VBE7.DLL + 0xfb613","0x7ffb4149b613","C:\Program Files\Common Files\Microsoft Shared\VBA\VBA7.1\VBE7.DLL"
"59","VBE7.DLL","VBE7.DLL + 0x15ffb","0x7ffb413b5ffb","C:\Program Files\Common Files\Microsoft Shared\VBA\VBA7.1\VBE7.DLL"
"60","VBE7.DLL","VBE7.DLL + 0x5367d","0x7ffb413f367d","C:\Program Files\Common Files\Microsoft Shared\VBA\VBA7.1\VBE7.DLL"
"61","VBE7.DLL","VBE7.DLL + 0xca5d0","0x7ffb4146a5d0","C:\Program Files\Common Files\Microsoft Shared\VBA\VBA7.1\VBE7.DLL"
"62","USER32.dll","CallWindowProcW + 0x3f8","0x7ffbaab2e858","C:\Windows\System32\USER32.dll"
"63","USER32.dll","DispatchMessageW + 0x259","0x7ffbaab2e299","C:\Windows\System32\USER32.dll"
"64","EXCEL.EXE","Ordinal43 + 0x5f2bc","0x7ff6138bf2bc","C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE"
"65","EXCEL.EXE","Ordinal43 + 0xa604e","0x7ff61390604e","C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE"
"66","EXCEL.EXE","Ordinal43 + 0x5b735","0x7ff6138bb735","C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE"
"67","EXCEL.EXE","Ordinal43 + 0xdff2","0x7ff61386dff2","C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE"
"68","KERNEL32.DLL","BaseThreadInitThunk + 0x14","0x7ffba9576fd4","C:\Windows\System32\KERNEL32.DLL"
"69","ntdll.dll","RtlUserThreadStart + 0x21","0x7ffbab4bcec1","C:\Windows\SYSTEM32\ntdll.dll"
