"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"14:34:21.2683613","EXCEL.EXE","7364","RegOpenKey","HKLM\SOFTWARE\Microsoft\Office\ClickToRun\REGISTRY\MACHINE\Software\Microsoft\Office\16.0\Common\Internet","ACCESS DENIED","Desired Access: Read/Write"
"14:34:21.2683791","EXCEL.EXE","7364","RegOpenKey","HKLM\SOFTWARE\Microsoft\Office\16.0\Common\Internet","NAME NOT FOUND","Desired Access: Read/Write"
"14:34:21.2683901","EXCEL.EXE","7364","RegQueryKey","HKLM\SOFTWARE\Microsoft\Office","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"14:34:21.2684019","EXCEL.EXE","7364","RegOpenKey","HKLM\SOFTWARE\Microsoft\Office\ClickToRun\REGISTRY\MACHINE\Software\Microsoft\Office\16.0\Common\Internet","SUCCESS","Desired Access: Read"
"14:34:21.2684149","EXCEL.EXE","7364","RegQueryValue","HKLM\SOFTWARE\Microsoft\Office\ClickToRun\REGISTRY\MACHINE\Software\Microsoft\Office\16.0\Common\Internet\(Default)","NAME NOT FOUND","Length: 16"
"14:34:21.2684248","EXCEL.EXE","7364","RegOpenKey","HKLM\Software\Microsoft\Office\16.0\Common\Internet","NAME NOT FOUND","Desired Access: Read"
"14:34:21.2684442","EXCEL.EXE","7364","RegQueryValue","HKLM\SOFTWARE\Microsoft\Office\ClickToRun\REGISTRY\MACHINE\Software\Microsoft\Office\16.0\Common\Internet\LocationOfComponents","SUCCESS","Type: REG_SZ, Length: 2, Data: "
"14:34:21.2684545","EXCEL.EXE","7364","RegQueryKey","HKCU\SOFTWARE\Microsoft\Office","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"14:34:21.2684664","EXCEL.EXE","7364","RegOpenKey","HKCU\Software\Microsoft\Office\16.0\Publisher\Internet","NAME NOT FOUND","Desired Access: Read/Write"
"14:34:21.2684780","EXCEL.EXE","7364","RegQueryKey","HKCU\SOFTWARE\Microsoft\Office","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"14:34:21.2684890","EXCEL.EXE","7364","RegOpenKey","HKCU\Software\Microsoft\Office\16.0\Publisher\Internet","NAME NOT FOUND","Desired Access: Read/Write"
"14:34:21.2684994","EXCEL.EXE","7364","RegQueryKey","HKCU\SOFTWARE\Microsoft\Office","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"14:34:21.2685109","EXCEL.EXE","7364","RegOpenKey","HKCU\Software\Microsoft\Office\16.0\Publisher\Internet","NAME NOT FOUND","Desired Access: Read/Write"
"14:34:21.2685224","EXCEL.EXE","7364","RegQueryValue","HKCU\SOFTWARE\Microsoft\Office\16.0\Common\Internet\Encoding","NAME NOT FOUND","Length: 16"
"14:34:21.2693804","EXCEL.EXE","7364","RegQueryValue","HKCU\SOFTWARE\Microsoft\Office\16.0\Excel\ImmersiveWorkbookDirtySentinel","BUFFER OVERFLOW","Length: 12"
"14:34:21.2693942","EXCEL.EXE","7364","RegQueryValue","HKCU\SOFTWARE\Microsoft\Office\16.0\Excel\ImmersiveWorkbookDirtySentinel","SUCCESS","Type: REG_DWORD, Length: 4, Data: 2"
"14:34:21.2694065","EXCEL.EXE","7364","RegSetValue","HKCU\SOFTWARE\Microsoft\Office\16.0\Excel\ImmersiveWorkbookDirtySentinel","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"14:34:21.2694429","EXCEL.EXE","7364","RegQueryValue","HKCU\SOFTWARE\Microsoft\Office\16.0\Excel\ExcelWorkbookAutoRecoverDirty","BUFFER OVERFLOW","Length: 12"
"14:34:21.2694515","EXCEL.EXE","7364","RegQueryValue","HKCU\SOFTWARE\Microsoft\Office\16.0\Excel\ExcelWorkbookAutoRecoverDirty","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"14:34:21.2694609","EXCEL.EXE","7364","RegSetValue","HKCU\SOFTWARE\Microsoft\Office\16.0\Excel\ExcelWorkbookAutoRecoverDirty","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"14:34:21.2696849","EXCEL.EXE","7364","CreateFile","C:\Users\sancarn\AppData\Local\Temp\~DF0E41F447D9DEFE9D.TMP","SUCCESS","Desired Access: Generic Read/Write, Disposition: Create, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: 0, OpenResult: Created"
"14:34:21.2697746","EXCEL.EXE","7364","QueryStandardInformationFile","C:\Users\sancarn\AppData\Local\Temp\~DF0E41F447D9DEFE9D.TMP","SUCCESS","AllocationSize: 0, EndOfFile: 0, NumberOfLinks: 1, DeletePending: False, Directory: False"
"14:34:21.2697892","EXCEL.EXE","7364","SetEndOfFileInformationFile","C:\Users\sancarn\AppData\Local\Temp\~DF0E41F447D9DEFE9D.TMP","SUCCESS","EndOfFile: 512"
"14:34:21.2698208","EXCEL.EXE","7364","SetAllocationInformationFile","C:\Users\sancarn\AppData\Local\Temp\~DF0E41F447D9DEFE9D.TMP","SUCCESS","AllocationSize: 512"
"14:34:21.2698403","EXCEL.EXE","7364","CreateFileMapping","C:\Users\sancarn\AppData\Local\Temp\~DF0E41F447D9DEFE9D.TMP","FILE LOCKED WITH WRITERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_READWRITE"
"14:34:21.2698499","EXCEL.EXE","7364","QueryStandardInformationFile","C:\Users\sancarn\AppData\Local\Temp\~DF0E41F447D9DEFE9D.TMP","SUCCESS","AllocationSize: 512, EndOfFile: 512, NumberOfLinks: 1, DeletePending: False, Directory: False"
"14:34:21.2698637","EXCEL.EXE","7364","CreateFileMapping","C:\Users\sancarn\AppData\Local\Temp\~DF0E41F447D9DEFE9D.TMP","SUCCESS","SyncType: SyncTypeOther"
"14:34:21.2698993","EXCEL.EXE","7364","QueryBasicInformationFile","C:\Users\sancarn\AppData\Local\Temp\~DF0E41F447D9DEFE9D.TMP","SUCCESS","CreationTime: 16/09/2020 14:34:21, LastAccessTime: 16/09/2020 14:34:21, LastWriteTime: 16/09/2020 14:34:21, ChangeTime: 16/09/2020 14:34:21, FileAttributes: A"
"14:34:21.2699082","EXCEL.EXE","7364","LockFile","C:\Users\sancarn\AppData\Local\Temp\~DF0E41F447D9DEFE9D.TMP","SUCCESS","Exclusive: True, Offset: 2,147,483,538, Length: 1, Fail Immediately: True"
